id;name;slug;description;image;image_content_type
1;Table;open-source;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;Integration;Refined metrics e-commerce;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;Chief;XML Chips Kentucky;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;Steel transmitting Nevada;harness Georgia Hat;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;Program mesh;Designer array;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;Verde;Loan Music;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;Bedfordshire Investor;Front-line plug-and-play Versatile;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;Rustic Handcrafted JSON;Loan connecting systems;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;networks;Avon XML;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;invoice Sleek azure;feed Kids;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
