id;title;slug;summary;body;created_at;created_by;published_date;state;tags;updated_at;updated_by
1;Singapore Mexico;Tasty action-items;Hat;../fake-data/blob/hipster.txt;2021-09-04T08:58:51;solutions;2021-09-04;10035;Greece magenta;2021-09-04T19:04:52;payment
2;Isle;Markets Optimized hardware;bypassing Common;../fake-data/blob/hipster.txt;2021-09-04T20:58:52;Cotton Up-sized index;2021-09-04;94690;Costa Shoes;2021-09-04T10:17:38;Loan
3;partnerships;Netherlands;Digitized;../fake-data/blob/hipster.txt;2021-09-04T14:25:19;navigate generate;2021-09-05;38160;e-tailers;2021-09-04T11:47:21;e-business service-desk
4;Money background bandwidth;web-enabled;program synthesize initiatives;../fake-data/blob/hipster.txt;2021-09-04T03:37:35;synergize SQL generate;2021-09-04;77702;connecting;2021-09-04T14:26:59;cohesive Metal
5;District;Administrator bypassing;payment Cross-group;../fake-data/blob/hipster.txt;2021-09-04T22:21:35;Martin;2021-09-04;11391;Fantastic program;2021-09-04T13:44:46;Business-focused Shoes
6;Steel;Shoes;target;../fake-data/blob/hipster.txt;2021-09-04T21:30:02;SMS Utah;2021-09-04;55792;Garden Central;2021-09-05T01:17:26;input
7;pricing contingency;Global Cambridgeshire panel;bus Wooden Korean;../fake-data/blob/hipster.txt;2021-09-04T17:06:21;Frozen Multi-tiered;2021-09-04;94052;Handcrafted;2021-09-04T21:34:08;Kentucky
8;ability synthesize;Books;Identity transmitter architectures;../fake-data/blob/hipster.txt;2021-09-04T06:34:33;Legacy application;2021-09-04;75387;Zloty;2021-09-05T00:59:26;Granite
9;Peso Engineer Shirt;deliverables approach;Soap Re-engineered;../fake-data/blob/hipster.txt;2021-09-04T18:59:56;array workforce web;2021-09-04;98443;Ford;2021-09-05T01:31:42;compress Automotive
10;recontextualize Borders;invoice;Saint;../fake-data/blob/hipster.txt;2021-09-04T15:26:48;Sudan;2021-09-04;6129;e-markets Berkshire Pizza;2021-09-04T14:19:52;Omani Steel Agent
